,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,20,K. MAGNUSSEN,Renault Sport F1 Team,1,16:09:48,1,,27.831,27.831
1,55,C. SAINZ,Scuderia Toro Rosso,8,16:19:48,1,,22.414,22.414
2,12,F. NASR,Sauber F1 Team,10,16:23:19,1,,22.701,22.701
3,19,F. MASSA,Williams Martini Racing,11,16:24:32,1,,21.550,21.550
4,94,P. WEHRLEIN,Manor Racing MRT,11,16:24:47,1,,26.206,26.206
5,9,M. ERICSSON,Sauber F1 Team,11,16:24:51,1,,22.357,22.357
6,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,12,16:25:48,1,,21.531,21.531
7,3,D. RICCIARDO,Red Bull Racing,12,16:25:59,1,,22.245,22.245
8,14,F. ALONSO,McLaren Honda,12,16:26:14,1,,21.796,21.796
9,30,J. PALMER,Renault Sport F1 Team,12,16:26:22,1,,23.286,23.286
10,88,R. HARYANTO,Manor Racing MRT,12,16:26:36,1,,23.224,23.224
11,5,S. VETTEL,Scuderia Ferrari,13,16:27:17,1,,21.339,21.339
12,33,M. VERSTAPPEN,Scuderia Toro Rosso,13,16:27:32,1,,22.303,22.303
13,22,J. BUTTON,McLaren Honda,15,16:31:07,1,,22.616,22.616
14,7,K. RAIKKONEN,Scuderia Ferrari,16,16:32:03,1,,22.508,22.508
15,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,16,16:32:16,1,,21.940,21.940
16,27,N. HULKENBERG,Sahara Force India F1 Team,16,16:32:30,1,,22.167,22.167
17,11,S. PEREZ,Sahara Force India F1 Team,16,16:32:37,1,,24.719,24.719
18,77,V. BOTTAS,Williams Martini Racing,17,16:34:32,1,,21.376,21.376
19,20,K. MAGNUSSEN,Renault Sport F1 Team,16,16:34:50,2,,22.079,49.910
20,5,S. VETTEL,Scuderia Ferrari,18,16:36:56,2,,18:09.312,18:30.651
21,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,18,16:36:58,2,,18:09.303,18:30.834
22,7,K. RAIKKONEN,Scuderia Ferrari,18,16:37:00,2,,18:09.365,18:31.873
23,3,D. RICCIARDO,Red Bull Racing,18,16:37:02,2,,18:09.822,18:32.067
24,33,M. VERSTAPPEN,Scuderia Toro Rosso,18,16:37:03,2,,18:09.372,18:31.675
25,55,C. SAINZ,Scuderia Toro Rosso,18,16:37:05,2,,18:09.971,18:32.385
26,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,18,16:37:09,2,,18:10.087,18:32.027
27,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
28,19,F. MASSA,Williams Martini Racing,18,16:37:10,2,,18:09.805,18:31.355
29,8,R. GROSJEAN,Haas F1 Team,18,16:37:12,1,,18:09.417,18:09.417
30,27,N. HULKENBERG,Sahara Force India F1 Team,18,16:37:14,2,,18:09.155,18:31.322
31,77,V. BOTTAS,Williams Martini Racing,18,16:37:16,2,,18:08.989,18:30.365
32,30,J. PALMER,Renault Sport F1 Team,18,16:37:19,2,,18:08.294,18:31.580
33,11,S. PEREZ,Sahara Force India F1 Team,18,16:37:21,2,,18:07.311,18:32.030
34,9,M. ERICSSON,Sauber F1 Team,18,16:37:25,2,,18:06.875,18:29.232
35,22,J. BUTTON,McLaren Honda,18,16:37:31,2,,18:04.466,18:27.082
36,12,F. NASR,Sauber F1 Team,18,16:37:34,2,,18:02.337,18:25.038
37,94,P. WEHRLEIN,Manor Racing MRT,18,16:37:36,2,,18:02.140,18:28.346
38,20,K. MAGNUSSEN,Renault Sport F1 Team,17,16:37:38,3,,15:46.318,16:36.228
39,9,M. ERICSSON,Sauber F1 Team,27,17:10:16,3,,16.936,18:46.168
40,22,J. BUTTON,McLaren Honda,30,17:14:55,3,,21.837,18:48.919
41,55,C. SAINZ,Scuderia Toro Rosso,31,17:16:00,3,,22.392,18:54.777
42,33,M. VERSTAPPEN,Scuderia Toro Rosso,32,17:17:30,3,,29.066,19:00.741
43,94,P. WEHRLEIN,Manor Racing MRT,32,17:18:12,3,,23.895,18:52.241
44,5,S. VETTEL,Scuderia Ferrari,35,17:21:50,3,,24.548,18:55.199
45,3,D. RICCIARDO,Red Bull Racing,42,17:32:47,3,,21.981,18:54.048
