,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,5,S. VETTEL,Scuderia Ferrari,1,13:04:31,1,,32.037,32.037
1,1,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,1,13:04:57,1,,29.283,29.283
2,2,55,C. SAINZ,Renault Sport F1 Team,2,13:06:13,1,,22.852,22.852
3,3,19,F. MASSA,Williams Martini Racing,3,13:07:22,1,,22.055,22.055
4,4,94,P. WEHRLEIN,Sauber F1 Team,4,13:08:55,1,,23.358,23.358
5,5,11,S. PEREZ,Sahara Force India F1 Team,18,13:27:58,1,,22.903,22.903
6,6,27,N. HULKENBERG,Renault Sport F1 Team,19,13:29:17,1,,22.587,22.587
7,7,31,E. OCON,Sahara Force India F1 Team,20,13:30:35,1,,22.665,22.665
8,8,9,M. ERICSSON,Sauber F1 Team,28,13:42:13,1,,22.736,22.736
9,9,20,K. MAGNUSSEN,Haas F1 Team,31,13:46:09,1,,22.507,22.507
10,10,2,S. VANDOORNE,McLaren Honda,31,13:46:25,1,,28.044,28.044
11,11,33,M. VERSTAPPEN,Red Bull Racing,32,13:46:33,1,,22.57,22.57
12,12,10,P. GASLY,Scuderia Toro Rosso,31,13:46:43,1,,22.709,22.709
13,13,8,R. GROSJEAN,Haas F1 Team,31,13:46:45,1,,28.761,28.761
14,14,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,32,13:46:46,1,,21.758000000000006,21.758000000000006
15,15,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,31,13:46:57,2,,23.315,52.598
16,16,55,C. SAINZ,Renault Sport F1 Team,31,13:47:07,2,,23.035,45.887
17,17,7,K. RAIKKONEN,Scuderia Ferrari,32,13:47:13,1,,22.54,22.54
18,18,18,L. STROLL,Williams Martini Racing,32,13:47:37,1,,21.825,21.825
19,19,5,S. VETTEL,Scuderia Ferrari,32,13:48:10,2,,22.379,54.416
20,20,14,F. ALONSO,McLaren Honda,32,13:48:13,1,,22.655,22.655
21,21,11,S. PEREZ,Sahara Force India F1 Team,50,14:12:39,2,,22.528,45.431
22,22,8,R. GROSJEAN,Haas F1 Team,62,14:30:09,2,,23.035,51.79600000000001
