,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,94,P. WEHRLEIN,Sauber F1 Team,1,14:04:27,1,,25.813,25.813
1,1,22,J. BUTTON,McLaren Honda,1,14:04:29,1,,24.465,24.465
2,2,11,S. PEREZ,Sahara Force India F1 Team,16,14:23:49,1,,31.313,31.313
3,3,33,M. VERSTAPPEN,Red Bull Racing,32,14:44:07,1,,25.343000000000004,25.343
4,4,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,33,14:45:24,1,,24.308000000000003,24.308
5,5,7,K. RAIKKONEN,Scuderia Ferrari,34,14:46:35,1,,24.833,24.833
6,6,9,M. ERICSSON,Sauber F1 Team,35,14:49:08,1,,24.949,24.949
7,7,26,D. KVYAT,Scuderia Toro Rosso,36,14:49:48,1,,24.406,24.406
8,8,31,E. OCON,Sahara Force India F1 Team,36,14:50:06,1,,24.299,24.299
9,9,55,C. SAINZ,Scuderia Toro Rosso,37,14:50:54,1,,24.427,24.427
10,10,20,K. MAGNUSSEN,Haas F1 Team,37,14:51:04,1,,24.979,24.979
11,11,3,D. RICCIARDO,Red Bull Racing,38,14:51:46,1,,24.183000000000003,24.183
12,12,19,F. MASSA,Williams Martini Racing,38,14:52:42,1,,24.353,24.353
13,13,5,S. VETTEL,Scuderia Ferrari,39,14:52:55,1,,24.306,24.306
14,14,31,E. OCON,Sahara Force India F1 Team,39,14:54:19,2,,24.496,48.795
15,15,22,J. BUTTON,McLaren Honda,39,14:54:53,2,,26.057,50.522
16,16,8,R. GROSJEAN,Haas F1 Team,40,14:54:55,1,,24.66,24.660
17,17,18,L. STROLL,Williams Martini Racing,41,14:56:46,1,,26.69,26.690
18,18,20,K. MAGNUSSEN,Haas F1 Team,42,14:57:54,2,,26.04,51.019
19,19,30,J. PALMER,Renault Sport F1 Team,42,14:58:05,1,,25.472,25.472
20,20,2,S. VANDOORNE,McLaren Honda,43,14:58:56,1,,24.768,24.768
21,21,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,46,15:02:38,1,,24.155,24.155
22,22,33,M. VERSTAPPEN,Red Bull Racing,60,15:20:48,2,,25.678,51.021
23,23,31,E. OCON,Sahara Force India F1 Team,60,15:22:40,3,,24.642,1:13.437
24,24,19,F. MASSA,Williams Martini Racing,62,15:24:59,2,,25.123,49.476
25,25,11,S. PEREZ,Sahara Force India F1 Team,63,15:26:16,2,,25.026,56.339
26,26,18,L. STROLL,Williams Martini Racing,67,15:33:42,2,,25.248,51.938
