,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,20,K. MAGNUSSEN,Haas F1 Team,1,16:08:47,1,,31.336,31.336
1,1,18,L. STROLL,Williams Martini Racing,5,16:14:22,1,,22.293000000000006,22.293000000000006
2,2,2,S. VANDOORNE,McLaren Honda,9,16:20:40,1,,39.562,39.562
3,3,31,E. OCON,Sahara Force India F1 Team,15,16:29:32,1,,22.154,22.154
4,4,36,A. GIOVINAZZI,Sauber F1 Team,15,16:29:57,1,,28.591,28.591
5,5,14,F. ALONSO,McLaren Honda,16,16:31:00,1,,22.484,22.484
6,6,27,N. HULKENBERG,Renault Sport F1 Team,16,16:31:01,1,,23.13,23.13
7,7,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,17,16:31:40,1,,21.709,21.709
8,8,11,S. PEREZ,Sahara Force India F1 Team,17,16:32:20,1,,22.045,22.045
9,9,55,C. SAINZ,Scuderia Toro Rosso,18,16:33:49,1,,21.762,21.762
10,10,19,F. MASSA,Williams Martini Racing,20,16:36:44,1,,21.568,21.568
11,11,5,S. VETTEL,Scuderia Ferrari,23,16:40:32,1,,21.988000000000003,21.988000000000003
12,12,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,25,16:43:42,1,,21.44,21.44
13,13,33,M. VERSTAPPEN,Red Bull Racing,25,16:43:56,1,,22.208,22.208
14,14,7,K. RAIKKONEN,Scuderia Ferrari,26,16:45:16,1,,22.033,22.033
15,15,18,L. STROLL,Williams Martini Racing,29,16:51:13,2,,22.38,44.673
16,16,27,N. HULKENBERG,Renault Sport F1 Team,30,16:52:40,2,,23.159,46.289
17,17,26,D. KVYAT,Scuderia Toro Rosso,34,16:57:51,1,,25.559,25.559
18,18,20,K. MAGNUSSEN,Haas F1 Team,44,17:15:10,2,,22.189,53.525
19,19,26,D. KVYAT,Scuderia Toro Rosso,49,17:20:30,2,,24.026,49.585
