,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,94,P. WEHRLEIN,Sauber F1 Team,2,14:07:36,1,,24.424,24.424
1,1,94,P. WEHRLEIN,Sauber F1 Team,3,14:09:55,2,,24.918000000000006,49.342
2,2,18,L. STROLL,Williams Martini Racing,4,14:11:34,1,,23.475,23.475
3,3,2,S. VANDOORNE,McLaren Honda,9,14:20:17,1,,23.43,23.430
4,4,19,F. MASSA,Williams Martini Racing,17,14:33:15,1,,22.956,22.956
5,5,20,K. MAGNUSSEN,Haas F1 Team,19,14:36:33,1,,23.065,23.065
6,6,31,E. OCON,Sahara Force India F1 Team,20,14:37:56,1,,24.078000000000007,24.078
7,7,33,M. VERSTAPPEN,Red Bull Racing,21,14:39:13,1,,22.62,22.620
8,8,11,S. PEREZ,Sahara Force India F1 Team,21,14:39:37,1,,23.634,23.634
9,9,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,22,14:40:43,1,,22.724,22.724
10,10,10,P. GASLY,Scuderia Toro Rosso,22,14:41:29,1,,23.344,23.344
11,11,8,R. GROSJEAN,Haas F1 Team,23,14:43:03,1,,22.781,22.781
12,12,3,D. RICCIARDO,Red Bull Racing,25,14:45:43,1,,23.796,23.796
13,13,14,F. ALONSO,McLaren Honda,25,14:46:28,1,,24.636,24.636
14,14,94,P. WEHRLEIN,Sauber F1 Team,25,14:47:08,3,,24.952,1:14.294
15,15,7,K. RAIKKONEN,Scuderia Ferrari,28,14:50:46,1,,23.699,23.699
16,16,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,30,14:53:46,1,,22.876,22.876
17,17,2,S. VANDOORNE,McLaren Honda,34,15:01:19,2,,23.399,46.829
18,18,18,L. STROLL,Williams Martini Racing,35,15:02:52,2,,22.736,46.211
19,19,27,N. HULKENBERG,Renault Sport F1 Team,38,15:07:08,1,,23.199,23.199
20,20,30,J. PALMER,Renault Sport F1 Team,39,15:09:02,1,,25.618,25.618
21,21,10,P. GASLY,Scuderia Toro Rosso,39,15:09:07,2,,24.413,47.757
